"interaction_dt","campaign_nm","placement_nm","impressions","clicks","givt","fraud_impressions"
"2026-07-27","Лесной // Media yandex // июль 2026","gvl_yandex_msk_banner_jul26_none_sale_ret-site_prg",29436,123,0,0
"2026-07-09","Павелецкая Сити // Video yandex // июль 2026","pc_yandex_msk_video_jul26_none_lift_int-renovation_prg",1,2,0,0
"2026-07-05","Павелецкая Сити // Adspector // июнь 2026","pc_adspector_msk_video_jun26_none_lift-bf_work-estate_prg",1,0,0,0
"2026-07-15","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_vert_int-premium-real-estate-button_prg",0,1,0,0
"2026-07-31","video yandex // Май 2026_","sp_yandex_msk_video_may26_none_vert-bf_int-premium-real-estate_prg",0,1,0,0
"2026-07-25","Волга // Ozon // июль 2026","lvol-rnn_ozon_nn_banner_jul26_none_start_buyers-avg-check-15k_mrk",34964,21,841,98
"2026-06-11","video yandex // Май 2026_","lwnizh-rmsk_yandex_msk_video_may26_none_hor_plan-open-business-button_prg",0,1,0,0
"2026-07-23","Мичуринский // Avito Медийка // июль 2026","lm_avito-ads_msk_banner_jul26_none_sale_int-family_mrk",6742,7,298,0
"2026-06-26","Войковская // MTS // июнь 2026","lv_mts_msk_video_jun26_none_lift-bf_real-estate_prg",46740,53,2850,1008
"2026-06-09","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_hor-bf_int-mortgage-no-button_prg",1,0,0,0
"2026-06-27","Войковская // market yandex // июнь 2026","lv_yandexmarket_msk_banner_jun26_none_minus25_child-goods_mrk",2587,2,147,658
"2026-05-07","media yandex // Май 2026_","ng_yandex_msk_banner_may26_none_basic_lal-meeting_prg",0,1,0,0
"2026-06-26","Павелецкая Сити // Adspector // июнь 2026","pc_adspector_msk_video_jun26_none_lift-bf_work-estate_prg4",14035,95,195,410
"2026-07-24","Мичуринский // Yandex_Go // июнь 2026","lm_yandexgo_msk_banner_jun26_none_minus40_sport_med",5,0,0,0
"2026-05-18","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_hor_int-residential-properties-new-no-button_prg",3634,7,0,0
"2026-06-12","video yandex // Май 2026_","lm_family_yandex_msk_video_may26_none_hor_int-kids-income-button_prg",0,1,0,0
"2026-07-09","video yandex // Май 2026_","lwnizh-rmsk_yandex_msk_video_may26_none_hor_small-mid-business-no-button_prg",0,1,0,0
"2026-06-07","Лесной // Video yandex // июнь 2026","gvl_family_yandex_msk_video_jun26_none_basic_int-kids-real-estate_prg",6522,150,0,0
"2026-06-21","Южнопортовая // Avito // июнь 2026","sp_avito-ads_msk_banner_jun26_none_bf_seg-competitors_mrk",2039,11,90,0
"2026-06-03","Мичуринский // Ozon // июнь 2026","lm_ozon_msk_banner_jun26_none_bf_real-estate_mrk",883,1,20,0
"2026-07-24","Нижегородская // Video yandex // июнь 2026","ng_yandex_msk_video_jun26_none_bf_genres-real-estate_prg",0,1,0,0
"2026-06-15","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_int-small-mid-business_prg",7374,16,0,0
"2026-06-21","Южнопортовая // Ozon // июнь 2026","sp_ozon_msk_banner_jun26_none_minus40_real-estate_mrk",25215,27,649,13
"2026-07-13","Павелецкая Сити // Yandex_Go // июнь 2026","pc_yandexgo_msk_banner_jun26_none_bf_who-int-prem-real-estate_med",2,0,0,1
"2026-07-04","Звенигородская // Ozon // июль 2026","zv_ozon_msk_banner_jul26_none_sale_watched-pages-travel_mrk",23348,25,846,113
"2026-06-11","Войковская // Video yandex // июнь 2026","lv_yandex_msk_video_jun26_none_bf_int-premium-residential-properties_prg",1005,16,0,0
"2026-07-16","Зонтик регионы // Video yandex // июль 2026","lg_yandex_video_reg_prov_jul26_cfo_lift_int-residential-real-estate_prg",5408,16,0,0
"2026-07-02","Остатки // Media yandex // июнь 2026","lg_last_yandex_msk_banner_jun26_none_key-ak_keys-flat-moscow_prg",0,2,0,0
"2026-07-06","Лесной // Ozon // июль 2026","gvl_ozon_msk_banner_jul26_none_sale_income-bc_mrk",6481,3,262,14
"2026-07-22","Остатки // Media yandex // июль 2026","lg_last_yandex_msk_banner_jul26_none_bant-ng_int-premium-residential-properties_prg",2238,7,0,0
"2026-07-25","Мичуринский регионы // Media yandex // июль 2026","lm_yandex_banner_reg_prov_jul26_south_sale_int-residential-properties-new_prg",0,1,0,0
"2026-07-29","Звенигородская // Ozon // июнь 2026","zv_ozon_msk_banner_jun26_none_minus40_income-bc_mrk",1,0,0,0
"2026-07-08","Мечникова // Avito Медийка // июль 2026","lmech-rspb_avito-ads_spb_banner_jul26_none_start_int-new-building_mrk",2800,11,126,0
"2026-06-20","video yandex // Май 2026_","sp_family_yandex_msk_video_may26_none_hor_int-kids-super-geo_prg",0,1,0,0
"2026-05-26","mTS // Май 2026_","lwsv_mts_msk_video_may26_none_hor_wl_prg",12785,67,707,184
"2026-07-27","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_visitors-sites-app_prg",0,1,0,0
"2026-07-26","Лесной регионы // Media yandex // июнь 2026","gvl_yandex_reg_banner_jun26_none_bf_int-residential-properties-new_prg",0,1,0,0
"2026-07-12","Южнопортовая регионы // Media yandex // июль 2026","sp_yandex_banner_reg_prov_jul26_pfo_sale_int-real-estate_prg",8296,19,0,0
"2026-07-30","Остатки // Media yandex // июль 2026","lg_last_yandex_msk_banner_jul26_none_key-pr_visitors-sites-list_prg",53554,61,0,0
"2026-06-09","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_bf_visitors-sites-list_prg",67131,184,0,0
"2026-06-11","Войковская // Video yandex // июнь 2026","lv_yandex_msk_video_jun26_none_bf_jt-real-estate_prg",112,1,0,0
"2026-06-08","promopages // Май 2026_","sp_promopages_msk_article_may26_none_invest-rayon-repack-opt'_none_cont",491,0,0,0
"2026-06-30","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_bf_int-luxury-item_prg",0,1,0,0
"2026-07-11","Зонтик регионы // Yandex_Go // июль 2026","lg_yandexgo_banner_reg_prov_jul26_pfo_sale_who-int-prem-real-estate_med",27921,43,1774,5380
"2026-07-16","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_visitors-sites-list-2_prg",0,1,0,0
"2026-06-02","mTS // Май 2026_","gvl_mts_reg_video_may26_none_hor-bf_real-estate_prg",2,0,1,0
"2026-07-27","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_int-travel-world_prg",0,1,0,0
"2026-07-26","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_bf_int-travel-rest_prg",0,1,0,0
"2026-07-28","Войковская // Ozon // июль 2026","lv_ozon_msk_banner_jul26_none_sale_int-real-estate_mrk",9880,18,429,33
"2026-05-04","mTS // Май 2026_","sel_family_mts_msk_video_may26_none_hor_semeiniye_prg",37331,495,1677,4310
"2026-07-17","Мичуринский регионы // Media yandex // июль 2026","lm_yandex_banner_reg_prov_jul26_east_sale_int-real-estate_prg",4887,5,0,0
"2026-07-22","yandex Go // Май 2026_","pc_yandexgo_msk_banner_may26_none_basic_none_med",1,0,0,0
"2026-06-29","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_rtrg-site_prg",0,1,0,0
"2026-07-11","Мичуринский регионы // Media yandex // июль 2026","lm_yandex_banner_reg_prov_jul26_east_sale_int-premium-residential-properties_prg",151,1,0,0
"2026-06-04","yandex Go // Май 2026_","lm_yandexgo_msk_banner_may26_none_basic_none_med",75,0,3,2
"2026-07-13","Павелецкая Сити // Media yandex // июнь 2026","pc_yandex_msk_banner_jun26_none_bf_visitors-sites-moveru_prg",0,1,0,0
"2026-06-06","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_vert-bf_visitors-sites-list-button_prg",0,1,0,0
"2026-07-19","Южнопортовая // Video yandex // июль 2026","sp_yandex_msk_video_jul26_none_lift_int-residential-properties-new_prg",4626,356,0,0
"2026-05-22","video yandex // Май 2026_","sp_family_yandex_msk_video_may26_none_hor_int-family-real-estate_prg",28455,236,1,0
"2026-06-04","video yandex // Май 2026_","sp_yandex_msk_video_may26_none_vert_int-premium-real-estate_prg",0,1,0,0
"2026-06-15","Мичуринский // Ozon // июнь 2026","lm_ozon_msk_banner_jun26_none_minus40_culture-leisure_mrk",10475,0,263,2
"2026-05-16","video yandex // Май 2026_","sp_yandex_msk_video_may26_none_vert_int-mortgage_prg",23758,83,0,0
"2026-06-22","Мичуринский // Media yandex // июнь 2026","lm_family_yandex_msk_banner_jun26_none_basic_int-kids-real-estate_prg",15393,50,0,0
"2026-06-04","Мичуринский // Ozon // июнь 2026","lm_ozon_msk_banner_jun26_none_bf_tourism_mrk",11092,8,305,0
"2026-07-11","video yandex // Май 2026_","lwnizh-rmsk_yandex_msk_video_may26_none_hor_fin-uslugi-button_prg",0,1,0,0
"2026-06-07","Остатки // Media yandex // июнь 2026","lg_last_yandex_msk_banner_jun26_none_key-ak_int-real-estate_prg",6115,10,0,0
"2026-06-07","promopages // Май 2026_","lm_promopages_msk_article_may26_none_three_int-auto_none_cont",291,0,0,0
"2026-06-06","Лесной // Video yandex // июнь 2026","gvl_family_yandex_msk_video_jun26_none_basic_int-family-real-estate2_prg",8355,366,2,0
"2026-06-19","Южнопортовая // market yandex // июнь 2026","sp_yandexmarket_msk_banner_jun26_none_bf_int-prem-real-estate_mrk",1905,2,78,315
"2026-07-15","Зонтик // Video yandex // июнь 2026","lg_yandex_msk_video_jun26_none_basic_lal-calls_prg",0,1,0,0
"2026-07-03","Войковская // Video yandex // июнь 2026","lv_yandex_msk_video_jun26_none_bf_int-mortgage_prg",0,1,0,0
"2026-07-16","Южнопортовая регионы // Media yandex // июль 2026","sp_yandex_banner_reg_prov_jul26_south_sale_int-real-estate_prg",5059,17,0,0
"2026-07-28","Мечникова // Yandex_Go // июль 2026","lmech-rspb_yandexgo_spb_banner_jul26_none_start_ultima_med",11301,15,1314,2388
"2026-06-16","Селигерская // q.bid // июнь 2026","sel_qbid_msk_video_jun26_none_lift-bf_real-estate_prg",13383,281,875,80
"2026-07-10","Мечникова // Media yandex // июнь 2026","lmech-rspb_yandex_spb_banner_jun26_none_basic_int-clothes-shoes_prg",0,1,0,0
"2026-05-22","video yandex // Май 2026_","lwnizh-rmsk_yandex_msk_video_may26_none_hor_int-commercial-estate-button_prg",4238,8,0,0
"2026-07-15","Зонтик регионы // Streamingads // июль 2026","lg_streamingads_allroll_reg_prov_jul26_pfo_sale_all_prg",40617,32,256,406
"2026-07-15","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_vert-bf_lal-calls-button_prg",0,1,0,0
"2026-07-08","media yandex // Май 2026_","gvl_yandex_reg_banner_may26_none_basic_int-cars-business_prg",0,1,0,0
"2026-07-09","Мечникова // Yandex_Go // июнь 2026","lmech-rspb_yandexgo_spb_banner_jun26_none_basic_invest_med",24,0,4,3
"2026-06-29","promopages // Май 2026_","lg_promopages_msk_article_may26_none_neobychny-kvartiry_none_cont",128,0,0,0
"2026-07-14","Воронцовская // Video yandex // июль 2026","vr_yandex_msk_video_jul26_none_vvod2026_amb-office-moving_prg",5041,44,0,0
